Category_name,prodtype,#Website_link,Page_type,VMID,ID,Name,Short_description,Description,rxcode,first_paragraph,features,@image,sizes_dia,size_min,size_max,max_pressure,temp_min,temp_max,operation,connection,material,materialsu,sterilizable,shore_hardness,leak_resistance,flowrate_min,flowrate_max
Actuators,SS,https://romynox.nl/ap-serie-alphair-aluminium-actuator?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,556,2473,"ALPHA AIR - AP Actuator aluminium","Piston Based Actuators","The aluminium pneumatic actuators of the AP-serie of Alphair is composed of: 17 different models with 90° movement, going from 7 to 10.000 Nm for the double acting version (DA) and from 4 to 4000 Nm for the single acting version (SR); 11 models with 120° and 180° movement, going from 7 to 700 Nm for the double acting version (DA) and from 4 to 120 Nm for the single acting version (SR). The internal rotation adjustment system, acting on pistons and covers, avoids side-loads on pistons, shaft and body at every feeding pressure.this helps with the product: compactness, sturdiness, reliability and long-lasting. These series can be coupled with every ISO 5211 compliant valve. Moreover it can also be coupled with valves not in compliance with the a.m. certification. Product can be customized through hard anodizing, nickel-plating and painting.","AAB ","Cover made of Aluminium alloy EN AB 46100 T6.","Easy assembly/change on every mean of valve. RXBLLTBearings in low friction acetal resin LAT-LUB, easily replaceable for maintenance. Optional HIGH/LOW Temperature = PA 66. RXBLLTDouble lower drilling for valve fastening and centering, according to ISO 5211-DIN 3337 Standards. RXBLLTDouble square lower female shaft key (starlike), according to ISO 5211-DIN 3337 Standards for assembly on valves with square key on line (0°) and diagonal key (45°). RXBLLTSolenoid connections according to NAMUR VDIVDE-3845 Standards. RXBLLTTop drilling for accessories fastening, and upper shaft end according to NAMUR VDIVDE-3845 Standards. RXBLLTAluminium adhesive nameplates, with progressive serial number punched. RXBLLTRunning test and 100% seal test carried out with electronic equipment and certification of each individual produc",/product-images/ALPHAIR-AP-SERIES-ALUMINIUM-ACTUATOR-12.jpg,,1/4,6,10,-20,80,,,,,,,,,
Actuators,SS,https://romynox.nl/ap-a-series-alphair-stainless-steel-actuator?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,555,2478,"ALPHA AIR - AP-A Actuator RVS","Piston Based Actuators Stainless Steal","Alphair AISI 316 stainless steel pneumatic actuators ""AP-A Series"" of AlphaPompe is composed of: 10 models with 90° movement, going from 13 to 520 Nm for the double acting version (DA) and from 4 to 200 Nm for the single acting version (SR); 8 models with 120° and 180° movement, going from 13 to 360 Nm for the double acting version (DA). The internal adjustment system, acting on pistons and covers, avoids side-loads on pistons, shaft and body. It assures compactness, sturdiness, reliability and long-lasting to the product. The above mentioned series can be coupled with every ISO 5211 compliant valve. Moreover it can also be coupled with valves not in compliance with the a.m. certification.","AAC ","The Alphair AISI 316 stainless steel pneumatic actuators ""AP-A Series"" has a cover of forged Stainless Steel type A182 - F316 - EN 10088/3 - 1.4401t.","Double lower drilling for valve fastening and centering, according to ISO 5211-DIN 3337 Standards. RXBLLTDouble square lower female shaft key (starlike), according to ISO 5211-DIN 3337 Standards for assembly on valves with square key on line (0°) and diagonal key (45°). RXBLLTSolenoid connections according to NAMUR VDIVDE-3845 Standards. RXBLLTTop drilling for accessories fastening, and upper shaft end according to NAMUR VDIVDE-3845 Standards. RXBLLTAluminium adhesive nameplates, with progressive serial number punched. RXBLLTRunning test and 100% seal test carried out with electronic equipment and certification of every individual product.",/product-images/ap_pneumatic_actuator_stainless_steel.jpg,,1/4,6,8,-20,80,Actuator,,"316 (1.4401)",,,,,,
Actuators,SS,https://romynox.nl/brackets-couplings?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,501,2561,"Brackets & Couplings for Open or Close Model","For mounting of actuators and switchboxes","Couplings serve the connection of the actuator with the valve, if a mounting bracket is used. The coupling transfers the rotation of the actuator on the valve. They have an external square according to DIN EN 15081 / ISO 5211. They are made of stainless steel 1.4303 (303). Additionally there are brackets for the mounting of switch boxes or positioners on pneumatic part turn actuators. These mounting brackets are deliverable in several heights and lengths, top with ISO flange F05, bottom-part adjustable for actuator shaft heights. OVERVIEW BRACKETS AND COUPLINGS","AQB - AQA ","Brackets serve the mounting of pneumatic or electric actuators on industrial valves. They are mainly needed, when the actuator cannot be mounted directly on the Valve. The brackets are in stainless steel AISI 304.  Mounting brackets according to ISO5211, available in sizes from F03 up to F25.","made of stainless steel 1.4303 (303). RXBLLTexternal square according to DIN EN 15081 / ISO 5211",/product-images/brackets.jpg,,,,,,,,,,,,,,,
Actuators,SS,https://romynox.nl/coupling-for-open-or-close-model?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,503,19549,"Coupling for Open or Close Model","External square according to DIN EN 15081 / ISO 5211","They have an external square according to DIN EN 15081 / ISO 5211.","AQ - AQG ","Couplings serve the connection of the actuator with the valve, if a mounting bracket is used. The coupling transfers the rotation of the actuator to the valve.","according to DIN EN 15081 / ISO 5211. RXBLLTmaterial: 1.4303",/product-images/mi_couplings.jpg,,,,,,,,,,,,,,,
Actuators,SS,https://romynox.nl/limit-switch-box?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,500,3040,"Limit Switchbox","For open-close notification","In the datasheet ""Inductive sensors"" are two typical exemples are described. But we provide a wide range of sensors, among them Pepperl+Fuchs and ifm electronic. There are several gradations of security, certified NAMUR versions as well as ATEX versions.","ABA ","With a sensor in combination with a target puck you can monitor your proces and the position of the valve.","Polycarbonate and stainless steel bracket according <br />VDl/VDE 3845 RXBLLT2 inductive sensors IFM NS5002",/product-images/lef_limit_switch_box.jpg,,,,,,,,,,,,,,,
Actuators,SS,https://romynox.nl/mounting-kits?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,502,3182,"Mounting Kits","For the mounting of limit switch boxes","The mounting kit contains stainless steel parts. There are also mounting kits for use between Actuators and Limit Switch boxes.","KP8 ","This mounting kit helps you to add a position feedback in the form of a limit switch box to your manual valve. You can mount any limit switch box that provides a F05 interface from below.","kit contains stainless steel parts",/product-images/mi_mountingkit.jpg,,,,,,,,,,,,,,,
Actuators,SS,https://romynox.nl/solenoid-valves?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,504,3653,"Solenoid Valves","NAMUR solenoid valves","There are a wide variety of solenoid valves to operate the actuator. We can deliver these products from various producers, among them Camozzi, ASCO and BÜRKERT.  Usually 3/2-way solenoid valves are used on single-acting actuators and 5/2-way valves on double-acting actuators. Several body materials are available, as well as ATEX versions. Information on voltages and all types is available on request.","ALD ","Solenoid valves according to NAMUR serve the control of pneumatic actuators and are to be mounted directly on actuators with a NAMUR interface according to VDI/VDE 3845.","interface according to VDI/VDE 3845.",/product-images/cam_solenoid_valve.jpg,,,,,,,,,,,,,,,
"Angle seat valves",SS,https://romynox.nl/tfm-ptfe-aerre-inox-diaphragm?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,563,3843,"AERRE INOX - TFM PTFE Diaphragm","MVA, Diaphragm TFM PTFE","Available in six different models with the followings different sizes from ¾"" to 4"". After the machining, there is a special AISI 316L screwed bush fixed on to it, in order to fix it on the stem. Surface roughness : smooth (hydrophobic)","NVX ","The diaphragm is manufactured from 100% TFM PTFE bar, PolyTetraFluorEthylene from Dyneon - 3M.","Must be replaced once every year RXBLLTAt higher pressures the membrane can be damaged RXBLLTUse saturated steam without condensation only RXBLLTWhite colour RXBLLTmanufactured conforming to the following norms : FDA Code of Federal Regulation, CFR under title 21, paragraph 177.1550, U.S.Pharmacopoeia Class VI ",/product-images/Aerre-Inox-Diaphragm-TFM-PTFE56.jpg,,3/4,4,6,-10,150,,,,,,,,,
"Angle seat valves",SS,https://romynox.nl/va-aerre-inox-angle-seat-valve-specials?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,96,4000,"AERRE INOX - VA Angle Seat Valve Specials","The Angle Seat Valve of Aerre Inox is very useful in special combinations.","With your proces in mind Romynox can show you some of the possibilities. Sizes: DN 25 to DN 100 Material:- Body: 316 L- Seats: TFM Connections: flange, NA-connect, welded Operated manually or pneumatically actuated 2.2 Certificate for surface finish 0,4 µm"," ","The Angle Seat Valve of Aerre Inox is very useful in special combinations.","2.2 Certificate for surface finish 0,4 µm RXBLLTmaterial:  - Body: 316 L - Seats: TFM",/product-images/Aerre_Inox_angle_4f450fa05f8a1.jpg,,1,4,,,,"Actuator, Manual","Flange, Orbital welding connection","316L (1.4404)",,,,,,
"Angle seat valves",SS,https://romynox.nl/va-tzdl-aerre-inox-angle-seat-valve-as-process-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,66,4005,"AERRE INOX - VA-TZDL Angle Seat Valve as Process Valve","Angle seat Valve as process valve","The Zero Dead Leg valve gives a reduction of fittings, tubing and field welds in the system. The application of VA-TZDL valves with U-bend welded is mainly for point of use on distribution loop or WFI loop for pharma. It can also be used as a drain point in other systems.","NVL - NVT - NVZ ","The VA-TZDL valves are specially designed to minimized the dead leg in the valve. It is optimized drainable.","Zero Dead Leg RXBLLTgives a reduction of fittings, tubing and field welds",/product-images/Aerre_Inox_angle_4f450f85b1b12.jpg,,3/4,3,6,-10,150,"Actuator, Manual","Butt Weld, Tri-Clamp","316L (1.4404)",,,,,,
